bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
51,-0.36249999999999993,-0.35,[2.308900045957596592371354913597933773083415442 +/- 2.41e-46],2.308900045957597,True,1213,44,240,345,22,19,[265.294001264259579593516676920 +/- 3.10e-28]
52,-0.35,-0.3374999999999999,[2.319409634197521147326759430407869154390932904 +/- 2.38e-46],2.319409634197521,True,1227,44,248,344,22,19,[265.802966761368809097988072447 +/- 2.37e-28]
53,-0.3374999999999999,-0.32499999999999996,[2.330142696739329323407759122687634311743040603 +/- 6.08e-46],2.3301426967393293,True,1277,44,255,362,22,19,[266.188101224429514425563558821 +/- 3.69e-28]
54,-0.32499999999999996,-0.3125,[2.340964811216650109672611830539303252482571495 +/- 5.63e-46],2.34096481121665,True,1345,48,301,348,24,20,[291.167602920919883105516366715 +/- 2.83e-28]
55,-0.3125,-0.29999999999999993,[2.351786913630696838989228139289300988939840954 +/- 5.37e-46],2.351786913630697,True,1315,48,290,344,24,20,[292.254231105136071359076857455 +/- 3.61e-28]
56,-0.29999999999999993,-0.2875,[2.362922238162867835752764055215813635075010730 +/- 5.42e-46],2.362922238162868,True,1299,48,285,341,24,20,[293.751858283805622493233777335 +/- 3.40e-29]
57,-0.2875,-0.2749999999999999,[2.374378121415118530311694994396913536520684961 +/- 4.48e-46],2.3743781214151185,True,1304,50,285,341,24,20,[295.111300486610123928403775458 +/- 2.70e-28]
58,-0.2749999999999999,-0.26249999999999996,[2.386163554368429894119009630856854813373949060 +/- 6.92e-46],2.38616355436843,True,1306,48,288,341,24,20,[296.632977783068695566271620183 +/- 4.59e-28]
59,-0.26249999999999996,-0.25,[2.398286171460944805933962450792692376669763942 +/- 5.70e-46],2.3982861714609447,True,1306,48,291,338,24,20,[298.119115363400463754865618166 +/- 1.27e-28]
60,-0.25,-0.23749999999999993,[2.410754447961145226407996221723064067068742416 +/- 4.25e-46],2.4107544479611454,True,1288,49,289,330,24,21,[300.000868657267674116188823641 +/- 4.08e-28]
61,-0.23749999999999993,-0.22499999999999998,[2.423271090451214373371376578817492130364627769 +/- 5.04e-46],2.4232710904512142,True,1339,48,298,348,24,20,[292.889410684187328014343366161 +/- 4.77e-28]
62,-0.22499999999999998,-0.2124999999999999,[2.435720489126094890454697534707358957055260712 +/- 3.09e-46],2.435720489126095,True,1445,48,320,379,24,21,[290.531043475692893515709868896 +/- 3.71e-28]
63,-0.2124999999999999,-0.19999999999999996,[2.448324500569418667418519680014961749206993885 +/- 6.39e-46],2.4483245005694187,True,1565,48,349,410,24,21,[286.598997833288083590087492173 +/- 7.04e-29]
64,-0.19999999999999996,-0.1875,[2.461143763166211969482035318120489029899837265 +/- 4.12e-46],2.461143763166212,True,1741,48,391,456,24,21,[285.179311791962965764773971432 +/- 3.68e-28]
65,-0.1875,-0.17499999999999993,[2.474229436625225267916759212737122132438642927 +/- 2.23e-46],2.474229436625225,True,2021,48,461,526,24,21,[282.304638153083338834393353399 +/- 7.36e-29]
66,-0.17499999999999993,-0.16249999999999998,[2.487614586949904471235044440637175270369101558 +/- 3.24e-46],2.4876145869499044,True,2469,52,565,642,24,21,[277.783073306648780749804772337 +/- 3.55e-28]
67,-0.16249999999999998,-0.1499999999999999,[2.501309094680016476492229786289755270557864554 +/- 7.03e-46],2.5013090946800163,True,1445,44,340,361,22,20,[270.628754021493905948872724552 +/- 3.51e-28]
68,-0.1499999999999999,-0.13749999999999996,[2.515320799917453942445120270240411878064105421 +/- 7.01e-46],2.515320799917454,True,1469,44,348,365,22,20,[271.569686544490472718137274159 +/- 2.06e-28]
69,-0.13749999999999996,-0.125,[2.529741265249588075680562908547454885049122028 +/- 2.55e-46],2.529741265249588,True,1499,44,357,371,22,20,[272.537486948098453508996427161 +/- 4.33e-28]
